model,f_corona,g_feedback,d_ratio,theta,kTe_keV,tau_T,l_diss_local,fixed_xi,effective_albedo,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_h_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,returning_reflection_over_l_diss,downward_flux_model,reflected_flux_model_hemisphere,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,last_scatter_order,last_difmax,converged,max_scatter,hemisphere_mu_order,exact_angles,root_method,root_iterations
compPSc-fg,0.3,0.1,2.3333333333333335,0.3913894324853229,200.0,0.043423548969552944,13.478603266242056,100.0,0.022581749469884525,0.5985002970871629,0.07956103903982803,0.4957125902563854,0.49575676150480785,2.403023495910607,1.1913151461526044,2.3333333333333335,0.06969016257727345,0.0016100843124036005,2.3565986480123867e-12,5.32161202704843e-14,2.8228445324484226e+28,5.128339177656938e+30,-8.910259983966632e-05,9,0.0006890141444675303,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.019569471624266144,10.0,1.7342043477436018,5.0528767371603916e+25,100.0,1.2049918317650981e-05,0.5965722241139432,0.9158298906874063,1.2457296043820438,1.248632175637335,3.0048093282498054,3.751901608907914,2.3333333333333335,0.6714759949164719,8.091328390853104e-06,5.903072525897902e-12,7.113154176023938e-17,4.962983710072883e-18,1.267127328545029e+34,-0.002327306799402696,81,0.0027464628115255957,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.022373075687865465,11.432641676499253,1.5253519475736277,7.684781406638723e+22,100.0,1.4890923368440934e-05,0.5871556942851248,0.8901240908208595,1.2250300057851455,1.2261369115557776,2.9761022739962946,3.6491088507119436,2.3333333333333335,0.642768940662961,9.571565568475508e-06,5.713356290696707e-12,8.507715070136461e-17,1.6586133400893789e-12,9.795084594372767e+33,-0.0009031664372132119,72,0.002567651035435179,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.025578335754056297,13.070529570322767,1.3275789235504947,2.857315825965033e+20,100.0,1.7987826846964187e-05,0.5781744349909266,0.8580200238419193,1.195235969242269,1.1975726455796676,2.9450794303683274,3.5269465648684584,2.3333333333333335,0.611746097034994,1.100418080907061e-05,5.489134133326612e-12,9.873759433003993e-17,9.078605785946274e-08,7.412004114484939e+33,-0.0019530831389539037,63,0.0029250515836066354,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.028757461816806225,14.695062988387981,1.1758577007723716,3.5830712897618463e+18,100.0,2.189120354625682e-05,0.5714256290238735,0.8266363836009087,1.167536036835054,1.1693055962784786,2.918297147155948,3.412381185772969,2.3333333333333335,0.5849638138226141,1.280584225088482e-05,5.299334258807681e-12,1.1600880491921096e-16,0.0004523888848376102,5.807949399164713e+33,-0.0015144884074148421,57,0.002711873534849765,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.03287737564771548,16.80033895598261,1.0199434263787734,4.2006835100636216e+16,100.0,2.784477258501324e-05,0.564816693141498,0.7864465165362676,1.1312304112396439,1.1327639276760544,2.8875595186709577,3.2709232617680906,2.3333333333333335,0.5542261853376242,1.5432731812293223e-05,5.075161890287726e-12,1.4131672866718764e-16,2.4722968913123458,4.3625512972138254e+33,-0.0013547000931745854,51,0.0024235937929641947,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.037587525504399366,19.207225532748076,0.8832289747951275,805313478348379.0,100.0,3.6438892135921594e-05,0.5595271629511904,0.7427753222214544,1.0918413096396515,1.0927434807867435,2.857443346077208,3.1224525881433274,2.3333333333333335,0.5241100127438747,1.9098684156622464e-05,4.852572145535779e-12,1.7682235299295588e-16,5033.578548215309,3.264425681152786e+33,-0.0008259429456184665,45,0.002780130858902048,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.042972471059807484,21.958932711561623,0.7616994700946113,24080850450611.19,100.0,4.8548353982402476e-05,0.5554379971676681,0.6955826995276401,1.0480151530614552,1.0492342267799135,2.8276894565887636,2.966908560557625,2.3333333333333335,0.49435612325543005,2.4001341290785844e-05,4.623751154979792e-12,2.2447550779850124e-16,4175404.7026006426,2.4212644033451618e+33,-0.0011625454440233607,40,0.0029320463099454922,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.048313510603607224,24.688203918443293,0.6680787945191936,1500121104288.0576,100.0,6.386627817006644e-05,0.5528858153286086,0.6525936157453744,1.0079766607654774,1.0094215520985361,2.802525964811531,2.8289301091965027,2.3333333333333335,0.4691926314781973,2.9967501030088874e-05,4.426670830029519e-12,2.827149905979842e-16,825235217.0454175,1.8570790690256157e+33,-0.0014324307128900937,37,0.0021570663738696033,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.3,2.3333333333333335,0.055235105486478836,28.225138903590686,0.5748346486649376,83419485317.6933,100.0,9.017236566106103e-05,0.5511035436925754,0.6028004553678856,0.9622004751786732,0.9631421307497811,2.77521055470275,2.6729222069356884,2.3333333333333335,0.44187722136941626,3.984870763485259e-05,4.212016610002311e-12,3.798075019275911e-16,196728615742.01752,1.3689971629094564e+33,-0.000978169436744288,33,0.002357694579082862,True,4000,8,True,input_equilibrium_curve,0
