kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,effective_albedo_ireflect_xi100,downward_flux_model,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
149.66624649512616,0.2928889363896794,0.0765662154958542,100.0,0.5848589412314084,0.13280060328320642,0.6182204421370493,0.014737126140655109,2.8720090203178676e-12,11,0.0007808296020934692,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.09234648441385787,100.0,0.5779699169537108,0.15642775762602645,0.79216506997457,0.018274940540902587,3.6367397814697794e-12,11,0.0016406111352067617,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.11137906096535036,100.0,0.5704196181789786,0.1836653979993561,1.0306959263991085,0.023219539858824877,4.66999394712756e-12,12,0.0007245987415313309,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.13433424456017132,100.0,0.5623303549347562,0.21487623381294174,1.3666730671622702,0.02998813472163258,6.104463031883894e-12,12,0.0015675452138308576,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.1620204830705645,100.0,0.5539044496353304,0.2503879308788045,1.8545894346823708,0.03899701186298055,8.159695265663727e-12,13,0.0008426060527493716,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.19541284517858606,100.0,0.5454326160795931,0.2904539612460123,2.587181847158388,0.0505364352942425,1.1208806306419372e-11,13,0.0018371211395970355,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.23568736086386607,100.0,0.5372620538257976,0.33520244400780885,3.727099051031244,0.06464013268238337,1.5905539594672935e-11,14,0.0011766142255332235,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.2842624394532966,100.0,0.5297620667559729,0.3845769291024955,5.564590691674428,0.08089453777610053,2.34156052051731e-11,14,0.0025397194896591506,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.34284882391556176,100.0,0.5232342669831551,0.4382771464678592,8.630409498219679,0.09842517616231819,3.586896834031912e-11,15,0.0018953909577406963,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.4135098407174411,100.0,0.5178718486461257,0.49570997802315664,13.899447340455556,0.11593483687744148,5.7175653943856106e-11,16,0.0015560668058434242,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.498734067153387,100.0,0.51371465590854,0.5559601777789263,23.172042328544123,0.13201786927602108,9.455349222548824e-11,17,0.0013974327236424841,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.601522975385064,100.0,0.5106723066359977,0.6177877722136343,39.75124426035243,0.14548243595680274,1.6124428790445697e-10,18,0.0013620392555024903,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.725496639885277,100.0,0.5085786215579299,0.6796570873372182,69.6005756054999,0.15558190203279063,2.8116563336149434e-10,19,0.001427025793758448,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.8750212311473027,100.0,0.5072528658312396,0.7398025797190924,123.19674425038524,0.16207525111957413,4.9638087996182e-10,20,0.0015900121352870062,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,1.0553627858009316,100.0,0.50654579058053,0.7963387317942069,218.21990981971297,0.16513530753688183,8.780199566130683e-10,21,0.0018631629625927605,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,1.2728726686930016,100.0,0.5063657382359065,0.8474221925132407,382.9071092081724,0.16521125013824803,1.5401004470435322e-09,22,0.0022711302966750033,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,1.5352112586346733,100.0,0.506692588251966,0.8914668995672532,659.2055740801767,0.1628956836787954,2.653118983560622e-09,23,0.002850999100958208,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
