theta,kTe_keV,eta_fixed,eta_reflect,tau_T_fixed,tau_T_reflect,tau_ratio_reflect_to_fixed,l_diss_fixed,l_diss_reflect,ldiss_ratio_reflect_to_fixed,effective_albedo_reflect,albedo_fixed,A_required_fixed,A_required_reflect,reflected_flux_model_observer,reflected_flux_model_hemisphere,downward_flux_model,observed_total_up_flux_reflect_model,energy_log_residual_fixed,energy_log_residual_reflect,root_method_fixed,root_method_reflect
0.21938943647016307,112.10800203625334,0.544056542006811,0.5489265040442819,0.2756588666946388,0.24411614597431158,0.8855733497763064,82.11775181243739,110.24694259019554,1.3425470151935865,0.02216803503572591,0.2,2.297555315462692,1.8630373831538607,1.618124689115337e-06,1.4402249294661749e-06,6.496854264011738e-05,5.5005212832816644e-05,-5.986124072592422e-05,-0.00020673996039624178,continuation,continuation
0.2376230521269814,121.4253796368875,0.5448283889811387,0.5498116764748074,0.24716929409628627,0.21931850394383545,0.8873209948902416,50.0394166248317,65.14800794802073,1.301933802235646,0.024638211329892218,0.2,2.2943004169396786,1.8647486600950056,1.8035690042264096e-06,1.6049198498526172e-06,6.513946277851161e-05,5.51400600216803e-05,0.00017804312069363802,-0.00010875353097909409,continuation,continuation
0.25737207684482727,131.51713126770673,0.5456842807083613,0.5507332671812303,0.22104232648401412,0.19665175458368697,0.8896565545237731,31.253212876609783,39.51911597727957,1.2644817073145165,0.027238363653037726,0.2,2.290701865879947,1.8666042677199197,2.000472015001512e-06,1.7796462498855317e-06,6.533601917334923e-05,5.529904978138835e-05,-0.0004225513895043769,0.00023477999182222508,continuation,continuation
0.2787624573731255,142.44761571766713,0.5465584190415178,0.5517107068101667,0.1974174581849169,0.1758647306870092,0.8908266386566496,19.887261614086807,24.59710487019438,1.2368271382708333,0.029913015535098616,0.2,2.287038231324083,1.868434638780996,2.2022409627574423e-06,1.9586578970897394e-06,6.547845016800584e-05,5.540637092190463e-05,0.00021408120643853635,-0.00034094801353660656,continuation,continuation
0.3019306079872643,154.28654068149206,0.5474996831192054,0.5526821145888451,0.17585472576553313,0.157068416121268,0.8931714256612422,12.917311997495375,15.61816377835385,1.2090877561354996,0.0327016211625966,0.2,2.283106344242105,1.8705276381380274,2.4159873263403393e-06,2.1482457157046924e-06,6.569233081819835e-05,5.5584623932551256e-05,-0.00034211619223920546,4.142394575976261e-05,continuation,continuation
0.327024280452292,167.1094073111212,0.5484515086834609,0.5536727361018046,0.156441408983692,0.14000474612102512,0.8949340652871498,8.545018039429161,10.110285828303219,1.1831789917413238,0.03553797168884271,0.2,2.2791440632565347,1.8726720459814525,2.6343063328608896e-06,2.3418169784662155e-06,6.589619123371182e-05,5.575461516679083e-05,-0.00016082702396518408,0.00020333232492394056,continuation,continuation
0.35420350628992986,180.99799171415418,0.5494276421690182,0.5546900471099946,0.13894274607480675,0.12454905406852633,0.896405588539823,5.752234152511656,6.6857004146296175,1.1622789054423963,0.038368467753593254,0.2,2.27509485155366,1.874739505212143,2.852221664463468e-06,2.534957887701746e-06,6.606878085363063e-05,5.589280864221425e-05,-4.313555748688337e-05,-0.00012008542660951749,continuation,continuation
0.38364161735808244,196.04086646998013,0.5504269992406283,0.5557028285240997,0.12319881244848363,0.1106540454049864,0.8981746106623966,3.929435172391827,4.4907520201602384,1.1428492450294685,0.0411927797483442,0.2,2.2709641818524635,1.876835013370294,3.0721784695652544e-06,2.729839488365551e-06,6.62698537229763e-05,5.6056448212153285e-05,-0.00017511350320679775,-2.2641785602958665e-05,continuation,continuation
0.41552635125145193,212.33396548949196,0.5514456574392917,0.5567204872194093,0.10909537825359554,0.09818007188818874,0.8999471238824266,2.7282556883926854,3.0678614229043886,1.124477238682778,0.04395249158584597,0.2,2.2667691424111207,1.8788119873200073,3.2890983987815877e-06,2.9219438141845277e-06,6.647959441565496e-05,5.6222379819065954e-05,-0.0003781400473267352,0.00025488285650016723,continuation,continuation
0.450061048572804,229.98119582070285,0.5524487176662245,0.5577788355812391,0.0965429970845605,0.08694070881637776,0.9005387386122657,1.9143644964601039,2.128446149450474,1.111829097011689,0.04656757676958216,0.2,2.26265345547461,1.880390514896042,3.492691758366422e-06,3.1021330958836623e-06,6.661572946415302e-05,5.6307326472042835e-05,0.0003667418252210209,-0.00043849563811031454,continuation,continuation
