model,d_ratio,theta,kTe_keV,tau_T,l_diss_local,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_c_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,root_method,max_scatter,last_scatter_order,last_difmax,exact_angles,max_tau_grid,max_frequency_grid,seed_bins
compPSc,0.0,0.4054431795277526,207.1814647386816,0.11239569545497673,3.0181092960962306,0.5523317242921221,0.18507633748018737,2.2630250936573284,2.2631327244547137,0.4921775023980777,1.113863011917478,0.0,0.4921775023980777,3.69824030863528e+30,3.368721077577614e+31,-4.7559454058324654e-05,continuation,2000,10,0.002460917108093427,True,60,100,1200
compPSc,0.0,0.4482221685612749,229.04152813481147,0.09636808756729542,1.9320784954068682,0.5535724430724724,0.16228371024231658,2.2576339028657184,2.2580603779013484,0.48656929108814956,1.0987028373096983,0.0,0.48656929108814956,6.250962523336285e+30,2.3334388732236276e+31,-0.00018888569968718253,continuation,2000,10,0.0007667689297785672,True,60,100,1200
compPSc,0.0,0.49551484038719684,253.2080834378576,0.08250617588487101,1.2617164162277081,0.5548345453422309,0.14180167959436785,2.252915722684332,2.252923886037016,0.4817717360146692,1.0853950516849682,0.0,0.4817717360146692,1.0071589803292755e+31,1.6033248984710388e+31,-3.6234546246344246e-06,continuation,2000,9,0.0015429289311206212,True,60,100,1200
compPSc,0.0,0.5477974412378552,279.92449247254405,0.0705357571163821,0.836616138594221,0.5561206994352301,0.12348704702352487,2.248320473842667,2.247713493256843,0.47770213400297684,1.0737375323560796,0.0,0.47770213400297684,1.5612099118929702e+31,1.092732288309046e+31,0.00027000711914250495,continuation,2000,9,0.0004706332451768961,True,60,100,1200
compPSc,0.0,0.605596466883326,309.4597945773796,0.06021460789051296,0.5637585026563784,0.5574520401251503,0.10718715607958595,2.2427664082773986,2.242345367898142,0.47430198123839235,1.0635488506148205,0.0,0.47430198123839235,2.324230563844433e+31,7.386954396559873e+30,0.0001877502285360588,continuation,2000,8,0.001300278296704185,True,60,100,1200
compPSc,0.0,0.6694939645443228,342.11141588214895,0.05132914724333357,0.3851325917169272,0.5588351315638442,0.09274530822580984,2.236017371485157,2.236795665480085,0.47150594557762643,1.0546624553161237,0.0,0.47150594557762643,3.3393837085768007e+31,4.9532114536898044e+30,-0.0003480109704346164,continuation,2000,8,0.0004030720685515576,True,60,100,1200
compPSc,0.0,0.7401333942188094,378.20816444581163,0.04372311184582424,0.26719998393192457,0.5602610606958855,0.08005831972129795,2.2300373997922773,2.231102762072038,0.4692566808351544,1.0469598767320698,0.0,0.4692566808351544,4.621285879791786e+31,3.299405475859119e+30,-0.0004776188424296255,continuation,2000,7,0.0015992828894757117,True,60,100,1200
compPSc,0.0,0.8182261084470004,418.1135414164172,0.03721713232718846,0.1879944194038592,0.5617362042821764,0.06895138594468186,2.2250061819505538,2.2252437896491513,0.46749625745891904,1.0402931435946803,0.0,0.46749625745891904,6.178232276168274e+31,2.183504779508823e+30,-0.00010678397858081483,continuation,2000,7,0.0005303807673646976,True,60,100,1200
compPSc,0.0,0.9045585157672225,462.2294015570507,0.03164477350359138,0.13436928622938982,0.563313835260598,0.05923923012158783,2.2189845845389953,2.219011715594967,0.46620857802476984,1.0345222965478345,0.0,0.46620857802476984,7.946616786192191e+31,1.4347700111946157e+30,-1.22267141011482e-05,continuation,2000,7,0.00016201632395074068,True,60,100,1200
compPSc,0.0,1.0,511.0,0.026877465849435088,0.09722135862949995,0.5650229688343957,0.05077582840057471,2.2118741869129086,2.2122994443547412,0.46536960055423987,1.0295369087257327,0.0,0.46536960055423987,9.905187491678963e+31,9.362375861310787e+29,-0.00019224265527777735,continuation,2000,6,0.001212180050398986,True,60,100,1200
